fid,id,Carb.m1,B12,B11,B8A,B7,B6,B5,WVP,B8,B4,B3,B2,AOT
"744","745",1.990996807,1455,2169,2640,2386,1914,866,2135,2522,540,488,317,78
"745","746",6.844051524,1444,2150,2673,2403,1887,860,2126,2526,482,459,293,78
"747","748",4.977492017,1540,2339,2794,2540,2039,1008,2208,2730,593,583,344,78
"748","749",3.764228338,1412,2156,2697,2407,1918,829,2133,2562,508,478,314,78
"750","751",5.841639937,1404,2147,2707,2439,1942,844,2137,2564,467,470,312,78
"751","752",3.110932511,1426,2161,2720,2434,1946,849,2137,2490,563,481,320,78
"752","753",3.110932511,1594,2352,2710,2432,1928,964,2175,2540,574,529,336,78
"753","754",2.519855334,1692,2511,2854,2508,2081,1068,2180,2602,568,514,333,78
"754","755",3.110932511,1464,2202,2740,2444,1980,881,2140,2586,548,487,290,78
"755","756",5.257475943,1412,2156,2697,2407,1918,829,2133,2578,474,442,293,78
"756","757",4.479742816,1562,2397,2910,2602,2124,1027,2225,2776,606,580,363,78
"757","758",1.990996807,1470,2277,2879,2576,2092,986,2165,2696,548,517,330,78
"758","759",6.097427721,1400,2153,2739,2439,1928,835,2130,2630,468,481,322,78
"759","760",2.765273343,1450,2184,2697,2420,1926,862,2137,2562,543,482,301,78
"760","761",1.990996807,1554,2353,2865,2546,2072,994,2220,2666,640,558,366,78
"761","762",1.52435693,1400,2153,2739,2439,1928,835,2130,2630,468,481,322,78
"762","763",3.345980745,1451,2179,2719,2436,1953,869,2128,2586,515,457,336,78
"763","764",2.765273343,1470,2277,2879,2576,2092,986,2165,2770,582,561,354,78
"765","766",2.765273343,1471,2240,2718,2428,1930,881,2073,2540,525,473,305,78
"766","767",3.110932511,1505,2291,2762,2448,1989,908,2136,2614,582,498,325,78
"767","768",4.479742816,1559,2349,2699,2435,1961,942,2115,2534,623,519,357,78
"768","769",1.76977494,1492,2229,2739,2448,1968,900,2073,2576,568,513,336,78
"769","770",3.456591679,1577,2437,2911,2586,2139,1092,2165,2734,606,546,347,78
"770","771",3.110932511,1507,2306,2866,2603,2068,982,2130,2712,570,558,344,78
"771","772",6.097427721,1455,2235,2818,2503,2004,887,2115,2636,554,500,345,78
"772","773",1.76977494,1541,2284,2792,2483,2001,955,2115,2590,593,523,343,78
"773","774",3.764228338,1541,2284,2792,2483,2001,955,2115,2652,582,508,326,78
"774","775",2.519855334,1455,2235,2818,2503,2004,887,2115,2636,554,500,345,78
"775","776",3.110932511,1507,2306,2866,2603,2068,982,2130,2712,570,558,344,78
"776","777",3.456591679,1442,2317,2979,2718,2270,1014,2165,2810,502,494,332,78
"777","778",4.977492017,1518,2302,2926,2605,2036,942,2183,2702,545,480,316,78
"778","779",8.848874698,1665,2504,3089,2796,2289,1099,2347,2792,579,528,326,78
"779","780",3.764228338,1442,2317,2979,2718,2270,1014,2165,2810,502,494,332,78
"780","781",4.977492017,1442,2341,3433,3144,2460,1129,2276,3492,508,631,345,78
"781","782",1.52435693,1542,2338,3404,3156,2422,1100,2268,2898,518,531,292,78
"782","783",0.4977492017,1548,2380,3027,2768,2282,1096,2210,2876,568,624,398,78
"783","784",0.5530546686,1449,2383,3001,2782,2280,1002,2209,2814,543,554,332,78
"784","785",0.4977492017,1519,2418,2959,2736,2307,1036,2219,2876,525,572,356,78
"785","786",1.368810305,1538,2420,2871,2650,2153,1072,2236,2742,536,535,308,78
"786","787",0.9505627117,1269,2168,2967,2673,2185,877,2267,2886,420,475,317,78
"787","788",1.244373004,1330,2159,2962,2695,2168,877,2225,2820,469,518,319,78
"788","789",0.9505627117,1317,2229,2978,2692,2162,921,2251,2766,472,526,295,78
"789","790",0.6083601355,1540,2424,2939,2664,2182,1037,2240,2810,537,577,345,78
"790","791",0.5530546686,1519,2418,2959,2736,2307,1036,2219,2842,535,571,344,78
"791","792",0.4977492017,1437,2355,3054,2719,2257,984,2209,2932,546,569,359,78
"792","793",0.4424437349,1496,2356,3047,2725,2295,1022,2210,2912,532,593,356,78
"793","794",0.5530546686,1588,2401,3169,2909,2304,1074,2210,3208,650,666,487,78
"795","796",0.5530546686,1442,2350,3004,2709,2256,998,2219,2824,529,570,330,78
"796","797",0.5530546686,1546,2523,3034,2775,2287,1096,2218,2864,641,631,383,78
"797","798",0.9505627117,1422,2384,2984,2715,2227,1005,2240,2836,539,580,358,78
"798","799",0.8641479197,1353,2235,2935,2646,2199,937,2193,2790,435,474,293,78
"799","800",0.9505627117,1422,2384,2984,2715,2227,1005,2240,2836,539,580,358,78
"800","801",0.9505627117,1426,2338,2899,2652,2173,951,2176,2752,498,542,319,78
"801","802",1.493247605,1569,2542,3093,2808,2292,1073,2227,2898,557,592,352,78
"802","803",0.5530546686,1358,2285,2943,2680,2163,959,2216,2812,507,535,336,78
"803","804",0.279983926,1398,2320,2990,2732,2228,949,2180,2834,510,543,344,78
"804","805",0.4977492017,1621,2472,3267,2937,2374,1119,2202,2824,788,730,515,78
"805","806",0.5530546686,1621,2472,3267,2937,2374,1119,2202,2828,818,760,511,78
"806","807",0.5530546686,1430,2371,3056,2807,2294,986,2207,2920,494,547,334,78
"807","808",0.7777331277,1458,2339,3105,2837,2303,1004,2246,2876,502,538,348,78
"808","809",1.863102915,1469,2371,2986,2712,2201,979,2198,2846,472,518,334,78
"809","810",0.4977492017,1426,2338,2899,2652,2173,951,2176,2724,518,555,334,78
"810","811",1.368810305,1389,2251,2819,2574,2106,897,2176,2670,479,487,316,78
"811","812",0.9505627117,1490,2356,2840,2574,2107,963,2176,2688,512,524,320,78
"812","813",0.7777331277,1467,2373,2890,2618,2152,949,2173,2718,523,550,356,78
"813","814",0.6083601355,1471,2408,3032,2744,2263,1003,2198,2950,530,584,365,78
"814","815",0.6083601355,1343,2290,3158,2870,2323,959,2248,2998,485,535,299,78
"815","816",0.7777331277,1430,2371,3056,2807,2294,986,2207,2910,532,553,314,78
"816","817",0.4977492017,1592,2414,2967,2618,2196,1006,2096,2752,601,607,409,78
"818","819",0.4977492017,1427,2346,2983,2662,2189,964,2150,2730,520,526,340,78
"819","820",0.4977492017,1372,2283,3007,2744,2250,888,2230,3006,425,531,299,78
"820","821",0.9505627117,1548,2483,2966,2676,2202,1021,2190,2776,524,523,337,78
"821","822",0.4977492017,1476,2402,2867,2552,2127,946,2173,2680,521,542,327,78
"822","823",1.493247605,1445,2287,2761,2540,2048,922,2177,2654,538,522,328,78
"823","824",1.493247605,1434,2306,2784,2499,2023,882,2192,2588,446,500,328,78
"824","825",0.5530546686,1518,2380,2817,2539,2100,930,2192,2654,550,547,345,78
